Tamanho,Threshold,MediaCPU,DesvioCPU,MediaReal,DesvioReal,Algoritmo
3,-1,0.00000000,0.00000000,0.00000000,0.00000000,Merge
5,-1,0.00000000,0.00000000,0.00000000,0.00000000,Merge
10,-1,0.00000000,0.00000000,0.00000000,0.00000000,Merge
20,-1,0.00000000,0.00000000,0.00000000,0.00000000,Merge
40,-1,0.00000000,0.00000000,0.00000100,0.00000000,Merge
80,-1,0.00000000,0.00000000,0.00000100,0.00000000,Merge
160,-1,0.00000100,0.00000100,0.00000200,0.00000000,Merge
320,-1,0.00000300,0.00000100,0.00000300,0.00000100,Merge
640,-1,0.00000800,0.00000300,0.00000800,0.00000300,Merge
1280,-1,0.00003000,0.00000300,0.00003100,0.00000300,Merge
2560,-1,0.00008100,0.00000200,0.00008100,0.00000200,Merge
5120,-1,0.00018400,0.00000300,0.00018500,0.00000300,Merge
10240,-1,0.00040400,0.00000400,0.00040400,0.00000400,Merge
20480,-1,0.00089600,0.00004300,0.00089600,0.00004300,Merge
40960,-1,0.00192900,0.00007500,0.00192900,0.00007600,Merge
81920,-1,0.00410300,0.00003100,0.00410400,0.00003100,Merge
163840,-1,0.00868700,0.00004000,0.00868700,0.00004000,Merge
327680,-1,0.01837100,0.00008500,0.01837300,0.00008500,Merge
655360,-1,0.03870200,0.00014400,0.03870500,0.00014400,Merge
1310720,-1,0.08147100,0.00021500,0.08147700,0.00021500,Merge
2621440,-1,0.17082400,0.00041500,0.17083500,0.00041500,Merge
5242880,-1,0.35976900,0.00098300,0.35980100,0.00098600,Merge
10485760,-1,0.75389800,0.00295400,0.75395300,0.00297300,Merge
20971520,-1,1.57283000,0.00289900,1.57296400,0.00289300,Merge
41943040,-1,3.28318100,0.00420500,3.28354600,0.00421100,Merge
83886080,-1,6.82856400,0.00908700,6.82929000,0.00904900,Merge
167772160,-1,14.19821500,0.01961900,14.20237600,0.03340300,Merge
335544320,-1,30.19284900,0.03329400,30.19502100,0.03342200,Merge
671088640,-1,62.79911900,0.77873600,62.80969600,0.77729100,Merge
1342177280,-1,131.93896000,1.10139500,138.68408000,4.33271700,Merge
3,100,0.00000100,0.00000000,0.00000200,0.00000000,Merge+Bubble
5,100,0.00000100,0.00000000,0.00000100,0.00000000,Merge+Bubble
10,28,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Bubble
20,50,0.00000000,0.00000000,0.00000100,0.00000000,Merge+Bubble
40,8,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Bubble
80,18,0.00000100,0.00000000,0.00000100,0.00000000,Merge+Bubble
160,8,0.00000300,0.00000100,0.00000300,0.00000100,Merge+Bubble
320,8,0.00000200,0.00000100,0.00000300,0.00000000,Merge+Bubble
640,8,0.00000500,0.00000100,0.00000600,0.00000100,Merge+Bubble
1280,16,0.00002600,0.00000100,0.00002600,0.00000100,Merge+Bubble
2560,6,0.00007300,0.00000200,0.00007300,0.00000200,Merge+Bubble
5120,4,0.00017400,0.00000600,0.00017400,0.00000600,Merge+Bubble
10240,6,0.00039800,0.00000600,0.00039800,0.00000600,Merge+Bubble
20480,8,0.00088800,0.00001100,0.00088800,0.00001100,Merge+Bubble
40960,8,0.00190300,0.00002400,0.00190300,0.00002500,Merge+Bubble
81920,6,0.00410800,0.00004100,0.00410900,0.00004100,Merge+Bubble
163840,6,0.00855600,0.00007100,0.00855900,0.00007300,Merge+Bubble
327680,6,0.01806900,0.00014000,0.01807200,0.00014000,Merge+Bubble
655360,6,0.03801300,0.00018100,0.03801900,0.00018400,Merge+Bubble
1310720,8,0.08003600,0.00023600,0.08004800,0.00023700,Merge+Bubble
2621440,6,0.16853100,0.00039300,0.16856700,0.00040400,Merge+Bubble
5242880,6,0.35365400,0.00072300,0.35373500,0.00072100,Merge+Bubble
10485760,6,0.74095200,0.00105200,0.74112400,0.00104600,Merge+Bubble
20971520,8,1.54858100,0.00234600,1.54887900,0.00235500,Merge+Bubble
41943040,6,3.22942700,0.00208300,3.23005800,0.00209000,Merge+Bubble
83886080,6,6.72577600,0.00527800,6.72710600,0.00529400,Merge+Bubble
167772160,8,13.96941400,0.00512600,13.97256300,0.00506800,Merge+Bubble
335544320,2,29.84265900,0.13935300,29.84458800,0.13943800,Merge+Bubble
671088640,6,60.41407200,0.03146500,60.42545500,0.03135200,Merge+Bubble
1342177280,8,128.73936500,0.92111200,136.60562000,3.96065700,Merge+Bubble
3,1000,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Insertion
5,1000,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Insertion
10,1000,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Insertion
20,1000,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Insertion
40,1000,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Insertion
80,70,0.00000000,0.00000000,0.00000100,0.00000000,Merge+Insertion
160,100,0.00000100,0.00000000,0.00000100,0.00000000,Merge+Insertion
320,70,0.00000100,0.00000100,0.00000200,0.00000000,Merge+Insertion
640,60,0.00000300,0.00000000,0.00000400,0.00000000,Merge+Insertion
1280,26,0.00000800,0.00000000,0.00000800,0.00000000,Merge+Insertion
2560,90,0.00005200,0.00000200,0.00005300,0.00000200,Merge+Insertion
5120,90,0.00013900,0.00000100,0.00013900,0.00000100,Merge+Insertion
10240,80,0.00032200,0.00000200,0.00032200,0.00000300,Merge+Insertion
20480,100,0.00072000,0.00000300,0.00072000,0.00000300,Merge+Insertion
40960,90,0.00158900,0.00000600,0.00158900,0.00000600,Merge+Insertion
81920,100,0.00344200,0.00001500,0.00344200,0.00001500,Merge+Insertion
163840,80,0.00737800,0.00001900,0.00737900,0.00001900,Merge+Insertion
327680,80,0.01573500,0.00006100,0.01573600,0.00006100,Merge+Insertion
655360,90,0.03365000,0.00086700,0.03365200,0.00086700,Merge+Insertion
1310720,100,0.07101700,0.00100100,0.07102100,0.00100100,Merge+Insertion
2621440,80,0.15035700,0.00041500,0.15036400,0.00041500,Merge+Insertion
5242880,100,0.31724000,0.00055300,0.31727100,0.00055200,Merge+Insertion
10485760,100,0.66777400,0.00082000,0.66789400,0.00082200,Merge+Insertion
20971520,80,1.40386200,0.00215000,1.40397500,0.00214700,Merge+Insertion
41943040,80,2.94597600,0.00432700,2.94641700,0.00505700,Merge+Insertion
83886080,100,6.15122600,0.00854300,6.15194300,0.00861500,Merge+Insertion
167772160,100,12.85406200,0.01805600,12.85731500,0.02721100,Merge+Insertion
335544320,100,27.73642900,0.28230700,27.73850200,0.28207700,Merge+Insertion
671088640,90,56.34850800,0.04175000,56.35950000,0.04149500,Merge+Insertion
1342177280,90,121.34179800,0.49595900,129.81026600,2.02545700,Merge+Insertion
